[2026-03-19 20:14:04] user=dasol | action=CREATE | title=첫번째 할일
[2026-03-19 20:14:06] user=dasol | action=UPDATE | title=첫번째 할일
[2026-03-19 20:14:07] user=dasol | action=UPDATE | title=첫번째 할일
[2026-03-19 20:14:16] user=dasol | action=CREATE | title=두번째 할일 - 다솔
[2026-03-19 20:14:25] user=dasol | action=CREATE | title=세번째 할일 - 다솔
[2026-03-19 20:14:28] user=dasol | action=UPDATE | title=첫번째 할일
[2026-03-19 20:14:40] user=hyunsoo | action=CREATE | title=첫번째 할일 - 현수
[2026-03-19 20:18:05] user=dasol | action=CREATE | title=공부하기
[2026-03-19 20:19:44] user=hyunsoo | action=CREATE | title=놀기
[2026-03-19 20:19:54] user=hyunsoo | action=UPDATE | title=놀기
[2026-03-19 20:19:55] user=hyunsoo | action=UPDATE | title=놀기
[2026-03-19 20:19:55] user=hyunsoo | action=UPDATE | title=놀기
[2026-03-19 20:19:56] user=hyunsoo | action=UPDATE | title=놀기
[2026-03-19 20:22:22] user=hyunsoo | action=UPDATE | title=비동기처리
[2026-03-19 20:23:42] user=dasol | action=DELETE | title=공부하기
[2026-03-19 20:31:29] user=hyunsoo | action=CREATE | title=할일 추가합니다
[2026-03-19 20:44:08] user=dasol | action=UPDATE | title=세번째 할일
[2026-03-19 20:44:10] user=dasol | action=UPDATE | title=두번째 할일 - 다솔
